Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
131461,Dumbravesti,0,0,10677,0,837100,880484,0,6450,0
49545,Smeeni,351422,6598,205573,0,0,0,0,89600,0
82314,Stoina,23146,0,0,0,0,0,0,0,0
57742,Frata,1041406,0,0,0,0,0,0,0,0
74135,Seaca De Padure,0,0,0,0,0,0,0,0,0
33177,Cosbuc,0,229029,0,0,0,0,0,0,0
41382,Maierus,1979381,0,0,0,0,0,87175,1.89E+07,0
24999,Rosiori,105130,0,0,0,0,0,0,0,0
90538,Pui,278084,0,4120965,0,0,0,0,0,0
172457,Prundeni,1295360,0,0,0,303467,0,0,0,0
147884,Crucea,0,0,215170,0,0,0,0,0,0
33202,Dumitra,230863,0,0,0,0,0,0,0,0
98738,Romanesti,0,0,0,0,0,0,0,0,0
164277,Dimitrie Cantemir,0,0,0,0,0,0,0,0,0
74171,Secu,0,0,0,0,0,0,0,0,0
139704,Municipiul Zalau,1.95E+07,3.35E+07,9443482,3457105,2.05E+09,4.76E+07,0,5.01E+07,8.68E+07
156106,Boldur,193890,0,0,0,0,0,0,0,0
41417,Mandra,1191229,61647,8.89E+07,0,0,0,0,0,0
115147,Alunis,566289,331682,198001,0,0,126825,0,0,0
131540,Oras Sinaia,1.93E+07,825979,118739,0,0,2.30E+07,615849,407770,111779
98774,Ruginoasa,794956,471055,0,0,866111,0,0,0,0
66009,Branesti,420900,28687,3552993,0,0,0,0,44457,0
49625,Stalpu,2181871,0,50277,0,555647,0,0,642552,0
82396,Telesti,0,0,0,0,0,0,0,0,0
139740,Oras Cehu Silvaniei,1.15E+07,5.12E+07,65780,0,0,1032689,0,4.02E+07,0
172509,Racovita,0,0,721128,0,0,0,0,0,0
33248,Feldru,1842087,0,2019762,0,0,0,0,1023129,0
106979,Oras Viseu De Sus,4674377,6306189,1.14E+08,7589043,0,0,0,125091,0
147937,Darmanesti,8063786,1154782,1380,0,0,0,0,0,0
57831,Geaca,0,0,0,0,0,0,0,0,0
123371,Pastraveni,3806272,0,16703,0,0,0,0,0,0
49643,Tisau,0,0,0,0,0,0,0,0,0
25068,Sascut,1410308,1294373,4124329,0,0,0,0,0,0
115183,Apold,5400,31896,477584,0,0,0,0,0,0
74224,Silistea Crucii,0,0,0,0,0,0,0,0,0
164339,Iana,0,0,0,0,0,0,0,0,0
156151,Brestovat,0,0,0,0,0,0,0,0,0
107001,Ardusat,5.42E+07,0,0,0,0,0,0,0,0
33275,Galatii Bistritei,1350383,0,25000,0,0,0,0,0,0
131577,Oras Slanic,42277,16918,0,0,0,0,0,0,53693
41471,Moieciu,35111,169068,79664,0,0,0,0,259909,0
82430,Oras Tismana,0,1304255,5013352,0,0,0,0,0,0
74242,Sopot,0,0,0,0,0,0,0,0,0
98827,Schitu Duca,189800,0,0,0,0,0,0,0,0
16908,Leresti,63833,2360426,3585099,0,0,0,0,91355,0
66081,Oras Titu,4315798,4.98E+07,0,0,0,2181813,0,0,0
123424,Petricani,0,5302558,1113167,0,0,0,0,12372,0
139811,Oras Jibou,3066195,5.34E+07,1.56E+07,0,0,0,0,4.12E+07,0
148006,Oras Dolhasca,2442700,0,8065,0,0,0,0,0,0
115236,Atintis,182156,0,0,0,0,0,0,0,0
90663,Rapoltu Mare,0,0,2057174,0,0,0,0,0,0
107047,Arinis,0,0,854933,2558935,0,0,0,0,0
131620,Oras Urlati,1.16E+08,0,0,1.45E+08,0,0,0,2.02E+07,0
172581,Roesti,0,0,4370,0,0,0,0,0,0
164393,Ivanesti,224075,0,0,0,0,0,0,0,0
57902,Gilau,4.57E+07,5137323,4046013,5316351,0,3756780,0,546690,0
16944,Lunca Corbului,0,0,71581,0,0,1.32E+07,0,0,0
156213,Carpinis,4.20E+07,0,106899,0,0,0,0,0,0
33337,Ilva Mare,0,0,384996,0,0,0,0,0,0
25148,Sanduleni,82572,0,0,0,0,124084,0,199271,0
41541,Ormenis,0,0,0,0,0,0,0,0,0
107083,Asuaju De Sus,0,0,0,0,0,0,0,47469,0
74322,Teasc,0,0,0,0,0,0,0,0,20971
33364,Ilva Mica,0,0,1.86E+07,0,0,0,0,0,0
123479,Piatra Soimului,335923,0,3626204,0,0,0,0,88820,0
57948,Garbau,0,177633,348580,0,0,0,0,0,0
156259,Cenad,404902,0,0,0,0,0,0,0,0
90725,Rachitova,0,0,0,0,0,0,0,0,0
98916,Scanteia,97364,0,143095,0,0,0,0,0,0
33382,Josenii Bargaului,0,0,2392147,0,0,0,0,1153519,0
49769,Topliceni,12561,2.74E+07,14287,219512,0,0,0,0,0
66152,Branistea,0,0,0,0,0,0,0,0,0
41578,Parau,0,0,90138,0,0,0,0,0,0
115307,Bahnea,1227504,0,0,0,0,0,0,237879,0
139884,Oras Simleu Silvaniei,5711449,4.22E+07,2721134,0,0,0,0,2.90E+07,4038482
107118,Baita De Sub Codru,0,0,789171,4928285,0,0,0,0,0
74359,Terpezita,1263886,0,0,0,0,0,0,0,0
156277,Cenei,491280,0,0,0,0,0,0,0,1176289
8826,Vintu De Jos,1743329,4817723,4861338,0,0,0,0,223823,0
82555,Turburea,118302,0,0,0,0,0,0,0,0
123521,Pipirig,0,212073,669690,0,0,0,0,0,0
148097,Dolhesti,1851872,0,0,0,0,0,0,0,0
25228,Saucesti,39260,222704,248652,0,0,5849,0,421568,0
107154,Baiut,29435,0,312991,0,0,0,0,0,0
41621,Poiana Marului,1.31E+08,0,2090077,0,0,0,0,122724,0
156311,Cheveresu Mare,2401438,0,0,0,0,0,0,0,0
66198,Baleni,3179724,0,0,0,0,0,0,9690483,0
58008,Iara,378152,117305,492190,0,0,0,0,0,0
172698,Rosiile,0,0,0,0,0,0,0,0,0
17049,Malureni,9604,0,5863345,0,0,0,0,0,0
33435,Lechinta,2000861,1600,2693326,0,0,0,0,3267988,108577
148131,Dorna-Arini,2661149,0,2.16E+07,0,0,0,0,202553,0
139937,Agrij,0,0,0,0,0,0,0,0,0
74411,Teslui,0,0,0,0,0,0,0,0,0
66223,Barbuletu,0,0,0,0,0,0,0,0,0
90805,Ribita,0,0,0,0,0,0,0,0,0
98998,Scobinti,146816,1075422,0,0,0,0,0,0,0
107190,Basesti,0,0,0,0,0,0,0,0,0
82617,Oras Turceni,0,0,0,0,0,0,0,0,0
49849,Tintesti,2064389,0,344833,0,0,0,0,0,0
115389,Band,605283,0,2022938,0,0,0,0,0,0
164543,Ivesti,124576,0,0,0,0,0,0,0,0
41667,Prejmer,492395,803738,4.40E+07,6000,0,8.82E+07,6637608,476,0
156357,Oras Ciacova,270812,0,0,0,0,0,0,0,0
25291,Scorteni,0,0,1291528,0,0,0,0,0,0
139982,Almasu,0,0,0,0,0,0,0,0,0
17101,Merisani,0,241611,282505,0,0,0,0,883241,0
123601,Pangarati,292776,220150,3742748,0,0,0,0,6046600,1.73E+07
107234,Bicaz,0,0,0,0,0,0,0,0,0
41701,Racos,428910,0,0,0,0,0,0,0,0
49894,Ulmeni,33920,0,0,0,0,185293,0,0,0
148202,Dorna Candrenilor,1.82E+08,0,1.40E+07,0,0,0,0,0,0
33514,Lesu,0,0,557832,0,0,0,0,0,0
131817,Oras Valenii De Munte,3.24E+08,6049132,130647,0,0,6790523,0,2296168,0
99058,Sinesti,0,0,0,0,0,0,0,0,0
164598,Laza,0,0,0,0,0,0,0,0,0
82680,Tantareni,19245,0,0,0,0,0,0,0,0
131835,Gura Vitioarei,16827,0,270066,0,0,0,0,0,0
90878,Rau De Mori,0,0,56992,0,0,0,0,0,0
33541,Livezile,3285923,0,2874298,0,0,1.02E+07,0,91854,0
107270,Bistra,0,0,4605514,0,0,0,0,0,0
41738,Recea,0,282,0,0,0,0,0,28203,0
74509,Tuglui,0,0,0,0,0,0,0,100806,0
172812,Runcu,145915,0,0,0,0,0,0,0,0
25362,Secuieni,0,0,0,0,0,0,0,0,0
156437,Comlosu Mare,153909,0,0,0,0,0,0,0,0
66330,Bezdead,0,293031,1746905,0,0,0,0,0,0
123674,Podoleni,142384,0,73118,0,0,0,0,0,0
99101,Siretel,0,0,0,0,0,0,0,931985,0
58142,Iclod,3411784,0,38989,0,0,0,0,1693480,0
49956,Vadu Pasii,0,375646,260278,0,0,0,0,61923,0
74536,Unirea,0,0,0,0,0,0,0,0,0
82733,Urdari,0,0,431248,0,0,0,0,0,0
107314,Barsana,2483664,0,0,0,0,0,0,0,0
140084,Babeni,0,0,0,0,0,0,0,0,0
17209,Micesti,209090,0,299217,5006426,0,1.27E+08,0,3372895,2824579
131899,Adunati,0,31924,0,0,0,0,0,0,0
9019,Cut,0,0,0,0,0,0,0,138834,0
74554,Urzicuta,0,0,0,0,0,0,0,0,0
156473,Costeiu,770422,0,266292,0,0,0,0,0,0
123709,Poienari,0,0,0,0,0,0,0,0,0
115520,Batos,116035,220229,426668,0,0,110033,0,0,0
9026,Bucerdea Granoasa,1263165,0,0,0,0,0,0,0,0
33603,Lunca Ilvei,7599260,0,1.36E+08,0,0,0,0,0,0
148293,Dornesti,694888,0,0,0,0,0,0,0,0
164687,Lipovat,0,0,0,0,0,0,0,0,0
74581,Valea Stanciului,534065,0,0,0,0,0,0,0,0
33621,Maieru,110855,182985,1.34E+07,0,0,0,0,88135,353688
107350,Bocicoiu Mare,3207146,0,277644,0,0,0,0,0,0
41818,Sercaia,3891783,0,2675383,0,0,0,0,3461,0
82779,Vagiulesti,0,0,0,0,0,0,0,0,0
58204,Izvoru Crisului,0,0,0,0,0,0,0,32565,0
99165,Stolniceni-Prajescu,0,0,75831,0,0,0,0,220417,0
172894,Salatrucel,1279,0,0,0,0,0,0,0,0
131933,Albesti-Paleologu,9912553,0,1168,0,0,0,0,0,0
66401,Bilciuresti,0,0,0,0,0,0,0,0,0
17254,Mihaesti,0,4140730,1357248,0,0,0,0,0,0
50022,Valea Ramnicului,695821,479941,41182,0,0,0,0,3176313,0
148328,Dragoiesti,0,0,0,0,0,0,0,0,0
140146,Balan,0,0,37823,0,0,0,0,0,0
90994,Romos,7327,0,0,1199151,0,0,0,0,0
156534,Criciova,0,0,2646875,0,0,0,0,0,0
115575,Bagaciu,0,128102,0,0,0,0,0,0,0
74616,Vela,329953,0,0,0,0,0,0,0,0
33658,Matei,5880,0,0,0,0,0,0,16507,0
41854,Sinca,0,0,714009,2438946,0,0,0,89100,0
66438,Buciumeni,0,0,0,0,178936,0,0,0,0
99209,Strunga,0,0,336845,0,0,0,0,0,0
107403,Bogdan Voda,158101,0,0,0,0,0,0,0,0
82831,Vladimir,2331285,0,0,0,0,0,0,0,0
123790,Poiana Teiului,668435,0,1.65E+07,0,0,0,0,0,0
164749,Lunca Banului,0,184940,187794,0,0,0,0,0,0
25488,Solont,0,0,26500,0,0,0,0,0,0
115600,Bala,0,0,0,0,0,0,0,0,0
172947,Scundu,0,0,0,0,0,0,0,0,0
58259,Jucu,586041,4902132,2.27E+07,0,0,0,0,2.35E+08,0
50068,Valea Salciei,0,1439248,0,0,0,0,0,0,0
131988,Alunis,0,0,2599,0,0,0,0,29100,0
148382,Draguseni,0,0,0,0,0,0,0,0,0
107430,Boiu Mare,2763497,0,1.71E+07,0,0,0,0,0,0
132011,Apostolache,0,0,0,0,0,0,0,0,0
66474,Bucsani,454760,0,27409,0,0,0,58119,60580,0
91054,Sarmizegetusa,254806,0,8950,0,0,0,0,0,0
156589,Curtea,0,0,0,0,0,0,0,0,0
25521,Stanisesti,26688,0,0,0,0,0,0,0,0
140208,Banisor,0,0,0,0,0,0,0,0,0
115637,Balauseri,3.37E+07,0,0,0,0,0,0,0,0
17334,Mioarele,0,0,77945,0,0,0,0,0,0
50102,Vernesti,8770928,207621,8665571,0,0,0,0,305013,0
33729,Magura Ilvei,0,0,0,0,0,0,0,0,0
172992,Sinesti,17708,0,0,0,0,0,0,0,0
41925,Sanpetru,831408,1708912,2934364,0,0,2.88E+08,0,238848,4964506
58311,Luna,303721,0,0,0,0,96096,0,0,0
148426,Dumbraveni,1.47E+07,0,0,0,0,0,0,0,10000
156623,Darova,0,8845487,0,0,0,0,0,0,0
82895,Oras Rovinari,1390743,14700,0,0,0,3245427,1302689,0,0
74705,Verbita,0,0,0,0,0,0,0,0,0
140244,Benesat,0,0,0,0,0,0,0,0,0
41943,Soars,0,0,0,0,0,0,0,0,0
99290,Scheia,0,0,0,0,0,0,0,0,0
107485,Botiza,167501,0,115556,0,0,0,0,0,0
66526,Candesti,20039,0,0,0,0,0,0,0,0
164829,Malusteni,0,0,0,0,0,0,0,0,0
33765,Mariselu,0,0,262834,0,0,0,0,38650,0
148453,Fantanele,18696,0,0,0,0,0,0,0,0
132075,Aricestii Rahtivani,8469953,1.25E+07,950091,0,0,2.36E+08,0,0,1.63E+07
74732,Vartop,0,0,0,0,0,0,0,0,0
91116,Salasu De Sus,365889,0,488206,0,0,575150,0,0,0
58357,Maguri-Racatau,0,0,7293,0,0,0,0,0,0
17398,Mirosi,0,0,0,0,0,0,0,0,0
1017,Municipiul Alba Iulia,3.19E+08,2.12E+08,2.97E+07,1422564,9.77E+07,4.04E+07,810458,1.62E+07,2.84E+08
140280,Bobota,38012,0,18960,0,0,0,0,1.72E+07,0
115708,Beica De Jos,126729,5500,6921034,0,0,0,0,0,0
107519,Budesti,80981,0,40416,0,0,843618,0,0,0
74750,Varvoru De Jos,0,0,0,0,0,0,0,0,0
156669,Denta,0,0,0,0,0,0,0,0,0
173061,Slatioara,0,0,0,0,0,0,0,0,0
123914,Raucesti,0,3176163,317652,0,0,0,0,0,0
17423,Moraresti,498401,0,3678184,0,0,0,0,0,0
42003,Tarlungeni,5.74E+07,0,2.65E+07,39000,0,139001,78977,930857,0
66580,Cobia,48367,0,0,0,0,0,46236,0,0
58393,Manastireni,9522,219339,0,0,0,0,0,0,0
107546,Calinesti,0,0,1408,0,0,0,0,0,0
25629,Strugari,0,0,0,0,0,0,0,0,0
164892,Miclesti,0,0,0,0,0,0,0,0,0
148514,Forasti,4078401,0,0,0,0,0,0,0,0
140324,Bocsa,0,0,0,270,0,0,0,857519,0
156712,Dudestii Vechi,780974,0,2857065,0,0,0,0,0,0
99370,Sipote,3943353,0,0,0,0,0,0,0,0
132137,Aricestii Zeletin,0,0,0,0,0,0,0,0,0
9262,Municipiul Arad,2.73E+08,4.68E+08,1.39E+08,1775091,860700,4.88E+09,4.55E+08,4.37E+08,1.94E+08
1071,Ciugud,7291422,384014,2412953,0,0,4854662,0,668524,0
50228,Vintila Voda,248497,0,0,0,0,0,0,0,0
33845,Micestii De Campie,3551047,0,0,0,0,0,0,0,0
115771,Bichis,0,0,0,0,0,0,0,0,0
107582,Cernesti,7587276,0,41618,0,0,0,0,0,0
9280,Fantanele,496527,2373889,0,0,0,0,0,2.18E+07,0
123969,Razboieni,0,0,1.40E+07,0,0,0,0,0,0
132164,Baba Ana,0,0,0,0,0,0,0,0,0
42058,Teliu,0,3999169,0,0,0,0,0,16986,0
164936,Muntenii De Jos,411621,41050,122779,0,0,0,0,0,0
173132,Stanesti,0,0,0,164202,0,0,0,0,0
17496,Mosoaia,47337,18153,82880,0,0,3385270,0,4398487,0
33881,Milas,93606,0,0,0,0,0,0,0,0
140379,Buciumi,1768793,0,0,0,0,0,0,21361,0
74842,Catane,0,0,42133,0,0,0,0,0,0
25692,Tamasi,0,0,0,0,0,0,0,1127349,0
42076,Ticusu,723292,0,4880413,0,0,0,0,0,0
156767,Dumbrava,0,0,150584,0,0,0,0,0,168822
58464,Margau,0,0,1442389,0,0,0,0,0,0
91232,Santamaria-Orlea,0,0,0,0,0,2357494,16227,0,0
74859,Carcea,8.38E+07,2960795,1638787,1.84E+07,0,0,0,1.36E+07,0
99441,Tansa,0,0,0,0,0,0,0,0,0
115824,Bogata,3304779,0,0,0,0,0,0,0,0
74867,Carna,174692,0,0,0,0,0,0,0,0
9333,Livada,0,2.73E+07,123290,0,0,0,0,2321369,1376478
42101,Ucea,9.13E+07,0,1204328,0,0,0,0,0,4.21E+07
164981,Oras Murgeni,7823735,0,744436,0,0,0,0,0,0
74875,Cotofenii Din Fata,0,0,0,0,0,0,0,0,0
124028,Rediu,0,0,235919,0,0,0,0,0,0
1151,Oras Abrud,121430,3363129,864190,0,0,0,154800,0,0
132226,Balta Doamnei,0,0,0,0,0,0,0,0,0
74883,Dobrotesti,0,54,0,0,0,0,0,0,0
156801,Oras Faget,1.07E+08,1.35E+08,2.32E+07,0,0,0,0,1.25E+07,15986
148612,Oras Frasin,0,0,9595000,0,153024,0,0,44977,0
66697,Cojasca,0,0,314688,0,0,0,0,0,0
74891,Galiciuica,0,0,0,0,0,0,0,0,0
115851,Breaza,3.16E+07,16956,2067165,0,0,2753574,0,3380727,0
107662,Cicarlau,606818,0,2.19E+07,0,0,279341,0,7694575,0
9360,Sofronea,916537,2.06E+07,15216,0,0,291441,0,0,226756
25745,Tatarasti,0,0,0,0,0,0,0,0,0
50326,Viperesti,0,0,0,0,0,0,0,0,0
99478,Tatarusi,0,0,0,0,0,0,0,0,0
74907,Ghidici,0,0,0,0,0,0,0,0,0
140440,Camar,466877,1160406,0,0,0,0,0,0,0
33952,Monor,5.92E+07,0,0,0,0,0,0,0,0
74915,Ghindeni,0,0,0,0,0,0,0,0,0
58534,Marisel,122672,0,0,0,0,0,0,0,0
17575,Mozaceni,4125365,0,0,0,0,0,0,0,0
124073,Romani,0,0,0,0,0,0,0,0,0
66731,Comisani,42000,0,61444,324940,0,0,0,0,0
74923,Intorsura,0,0,0,0,0,0,0,0,0
42156,Ungra,0,0,16300,0,0,0,0,0,0
173230,Stoenesti,1458341,89595,0,0,0,0,0,0,0
132271,Baltesti,1099263,0,0,0,0,0,0,0,0
74931,Plesoi,0,0,0,0,0,0,0,0,0
9397,Vladimirescu,900159,3710123,2893394,7048,0,4188344,0,52300,7671325
58552,Mintiu Gherlii,564266,0,57708,0,0,0,0,66236,0
115897,Brancovenesti,124780,1611190,60088,0,0,0,0,0,0
148667,Fratautii Noi,660417,0,159055,0,0,0,0,2949807,0
83133,Municipiul Odorheiu Secuiesc,2.29E+07,3.10E+08,2.08E+08,234968,2.00E+07,1.88E+07,0,4.92E+07,1.62E+08
1213,Municipiul Aiud,6961818,4.25E+07,1.00E+08,5806866,5975602,4656510,49646,3.49E+07,0
140477,Carastelec,1136932,0,0,0,0,0,0,0,0
107715,Campulung La Tisa,111915,0,2.16E+07,0,0,0,0,487636,0
91330,Soimus,0,136626,559942,0,0,0,0,1854825,0
74949,Rojiste,0,0,439960,0,0,0,0,0,0
33989,Nimigea,5773,0,0,0,0,0,0,0,0
42183,Vama Buzaului,1.44E+07,0,0,0,0,0,0,0,0
74956,Talpas,119461,0,0,0,0,0,0,0,0
83151,Bradesti,4626801,1.40E+07,3881915,0,0,0,0,32499,0
165069,Oltenesti,3118583,0,234092,0,0,0,0,0,0
66768,Contesti,64789,0,118706,0,0,0,0,0,0
99539,Todiresti,0,0,0,0,0,0,0,0,0
17619,Musatesti,0,0,4042859,0,0,0,0,0,0
