Siruta,Localitate,Cifra de afaceri
18331,Ratesti,218388.0
42913,Bordei Verde,214180.0
149414,Moara,6913963.0
108455,Petrova,5102072.0
75686,Baneasa,0.0
116652,Ernei,1443464.0
51118,Oras Oravita,28197587.0
100273,Bals,0.0
124849,Urecheni,4173083.0
141232,Garbou,9643.0
108473,Poienile De Sub Munte,757542.0
100282,Costesti,470718.0
165817,Rosiesti,67223948.0
75711,Branistea,338945.0
59327,Savadisla,29674920.0
92097,Vorta,0.0
67522,Glodeni,255346.0
26564,Municipiul Oradea,2605274912.0
174021,Vaideeni,1175179.0
108491,Remetea Chioarului,0.0
34770,Sieu-Odorhei,0.0
10195,Bocsig,0.0
124885,Valea Ursului,0.0
100308,Draguseni,147969.0
26582,Sanmartin,11779712.0
42968,Ciocile,0.0
100317,Fantanele,0.0
133090,Dumbrava,168350.0
83936,Bilbor,14435365.0
100326,Harmanesti,22763.0
18411,Recea,163789.0
100335,Rachiteni,78126582.0
157683,Masloc,3290221.0
116723,Faragau,393054.0
75766,Brahasesti,0.0
100344,Roscani,0.0
83963,Capalnita,885215.0
149502,Moldova-Sulita,2084247.0
10239,Brazii,21494.0
100353,Valea Lupului,258477769.0
141312,Halmasd,0.0
51207,Oras Otelu Rosu,45890922.0
174085,Valea Mare,0.0
108552,Remeti,17850.0
165899,Solesti,0.0
67595,Gura Ocnitei,19832.0
43019,Ciresu,397036.0
100362,Ciohorani,1036.0
124938,Alexandru Cel Bun,14786462.0
83981,Ciucsangeorgiu,8136288.0
92177,Zam,1086652.0
59416,Sic,5616720.0
26653,Santandrei,143475061.0
149539,Moldovita,18516273.0
34850,Sieut,424964.0
59434,Sancraiu,1131167.0
75819,Buciumeni,0.0
157736,Manastiur,28237239.0
18475,Rociu,0.0
51243,Armenis,10470363.0
133161,Filipestii De Padure,529263786.0
10293,Buteni,6776765.0
108598,Repedea,598421.0
116796,Fantanele,7986290.0
43073,Dudesti,165749.0
67648,Gura Sutii,5078284.0
141376,Hereclean,7422468.0
108614,Rona De Jos,0.0
26699,Oras Alesd,165362017.0
174156,Vladesti,8351149.0
2130,Albac,2245866.0
149584,Musenita,0.0
34903,Sintereag,1928817.0
157781,Moravita,2403.0
75864,Cavadinesti,0.0
108632,Rona De Sus,3755683.0
125016,Vanatori-Neamt,38897085.0
165979,Stanilesti,1882775.0
67675,Hulubesti,95383.0
133214,Filipestii De Targ,79856888.0
18527,Rucar,32177119.0
51305,Bania,2181582.0
10346,Carand,106592.0
59498,Sanmartin,0.0
43117,Frecatei,0.0
26742,Astileu,6145590.0
84086,Ciumani,73510494.0
18554,Salatrucu,2604286.0
108669,Rozavlea,1288728.0
116867,Galesti,3436735.0
51332,Bautar,1980211.0
125061,Zanesti,237782.0
10373,Cermei,420681.0
141447,Hida,70043671.0
84102,Carta,6786869.0
157834,Mosnita Noua,43242609.0
174218,Voicesti,115596.0
75917,Certesti,3933.0
18581,Sapata,1071864.0
149655,Ostra,3336811.0
67737,I. L. Caragiale,4081774.0
108696,Ruscova,1167922.0
133278,Fantanele,874284.0
100521,Municipiul Giurgiu,333582554.0
34985,Teaca,21008004.0
108712,Satulung,92994325.0
125098,Dochia,799892.0
166057,Stefan Cel Mare,0.0
43180,Galbenu,2488758.0
174254,Voineasa,12063168.0
75953,Corod,1566192.0
125105,Ruginoasa,377246.0
149682,Panaci,2398959.0
10417,Chisindia,1837939.0
26804,Municipiul Beius,49048919.0
84148,Corbu,3368309.0
51387,Berliste,0.0
125114,Ghindaoani,0.0
67773,Lucieni,1267399.0
59586,Sanpaul,395796.0
125123,Valeni,385238.0
100549,Slobozia,0.0
157898,Nadrag,1984630.0
116938,Ganesti,471679.0
125132,Draganesti,0.0
84175,Corund,2451078.0
133330,Floresti,45091735.0
174290,Zatreni,0.0
125141,Pancesti,0.0
10453,Conop,0.0
26840,Oras Stei,323044090.0
141535,Horoatu Crasnei,0.0
125150,Gadinti,0.0
100576,Oras Buftea,376577974.0
157923,Nitchidorf,146381.0
76004,Corni,103616.0
43242,Gemenele,0.0
18670,Schitu Golesti,44854649.0
35054,Telciu,18934988.0
125169,Negresti,637552.0
116983,Gheorghe Doja,1408323.0
51449,Berzasca,756864.0
67835,Ludesti,0.0
108794,Sacalaseni,757956.0
125178,Boghicea,604305.0
149753,Paltinoasa,6972258.0
166137,Suletea,399539.0
26877,Municipiul Marghita,114271560.0
100610,Municipiul Oltenita,222838787.0
2309,Almasu Mare,2636438.0
59657,Suatu,277076.0
76040,Cosmesti,0.0
84237,Danesti,3594786.0
141580,Ileanda,3575166.0
43279,Gradistea,0.0
133394,Fulga,873018.0
10514,Covasint,0.0
35090,Tiha Bargaului,12842912.0
157969,Ohaba Lunga,0.0
149780,Partestii De Jos,0.0
100638,Mitreni,19803.0
10532,Craiva,824761.0
166182,Tanacu,124344.0
26920,Oras Nucet,734023.0
84264,Dealu,22109086.0
51500,Berzovia,91941720.0
59693,Tritenii De Jos,8526.0
43313,Gropeni,156042.0
117042,Ghindari,2314789.0
18741,Slobozia,0.0
133429,Gherghita,0.0
158010,Ortisoara,14742954.0
43331,Oras Ianca,112017285.0
67906,Lunguletu,2708945.0
100683,Municipiul Urziceni,475214442.0
108874,Sacel,192413.0
149833,Patrauti,415266.0
2381,Arieseni,89322.0
76111,Costache Negri,0.0
35152,Tarlisua,6035.0
149851,Poiana Stampei,13891610.0
166235,Tacuta,0.0
18778,Stalpeni,110314.0
51546,Bolvasnita,0.0
108892,Oras Salistea De Sus,15958933.0
26975,Municipiul Salonta,432223048.0
100709,Ciocarlia,231000.0
67942,Malu Cu Flori,0.0
76139,Cuca,0.0
158065,Peciu Nou,2690011.0
59764,Tureni,4577328.0
51573,Bozovici,25779556.0
108918,Salsig,6586057.0
117113,Glodeni,12573795.0
84344,Ditrau,14571079.0
76157,Cudalbi,149615.0
27007,Oras Vascau,2867294.0
100736,Manasia,498037.0
133508,Gorgota,7008818.0
76175,Draguseni,302665.0
108945,Sapanta,878574.0
43411,Oras Insuratei,219106.0
100754,Adancata,141185.0
92569,Municipiul Calarasi,917233460.0
141722,Ip,2794844.0
10649,Dezna,42103.0
84380,Darjiu,163710.0
158109,Periam,17427208.0
108963,Oras Seini,45175897.0
125347,Municipiul Slatina,3742466125.0
174496,Titesti,0.0
68002,Manesti,207397.0
174502,Diculesti,24000.0
149931,Pojorata,11410893.0
166315,Tatarani,21269.0
18858,Stoenesti,9787592.0
92587,Modelu,493236.0
51626,Brebu,1032990.0
100781,Adunatii-Copaceni,7189245.0
174511,Lacusteni,0.0
59826,Taga,2395825.0
117177,Gornesti,5896536.0
133562,Gornet,14163918.0
158136,Pietroasa,0.0
174520,Mitrofani,0.0
27070,Abram,14341675.0
84415,Frumoasa,2717996.0
125374,Slatioara,21699092.0
35269,Uriu,605357.0
43466,Jirlau,8023945.0
109005,Stramtura,0.0
