Siruta,Localitate,CF/Loc
133562,Gornet,4879.062349293834
6592,Rametea,4863.029495718363
104136,Oras Mihailesti,4852.582511505589
144508,Carta,4848.01551724138
86311,Varsag,4831.489260143198
100521,Municipiul Giurgiu,4827.184053252297
53577,Prigor,4826.971405557793
139884,Oras Simleu Silvaniei,4804.145522388059
85877,Subcetate,4781.251334044824
63170,Vulturu,4749.596795727637
157086,Oras Gataia,4744.922413793103
161794,Municipiul Barlad,4714.58463373831
114417,Sangeorgiu De Mures,4712.606470066082
108963,Oras Seini,4703.372930765227
146502,Municipiul Campulung Moldovenesc,4688.435162218474
84656,Lunca De Jos,4681.745903083701
138280,Odoreu,4681.709066305819
78141,Municipiul Motru,4640.852996295489
103513,Gruiu,4617.187427240978
27070,Abram,4611.471061093248
30014,Madaras,4602.978928571429
179310,Dobroesti,4578.874971865856
143959,Arpasu De Jos,4561.762843068262
55838,Baciu,4558.16376918809
101742,Cernica,4502.661669407099
28709,Campani,4484.026556016597
125016,Vanatori-Neamt,4458.629642365887
150258,Slatina,4455.800035707909
176944,Nereju,4447.382983329725
106461,Oras Tautii-Magheraus,4436.11787355608
51877,Constantin Daicoviciu,4396.756185012549
85626,Siculeni,4373.827634333566
151488,Fantana Mare,4332.260252970486
131443,Oras Plopeni,4320.273978636714
140280,Bobota,4319.276388194097
63633,Barcani,4312.0521998508575
51243,Armenis,4303.478421701603
21098,Ardeoani,4301.338547934216
160323,Dorobantu,4277.945250659631
26804,Municipiul Beius,4273.670732769888
102473,Dascalu,4271.589378687956
91795,Vata De Jos,4267.357970215113
50969,Oras Bocsa,4265.9254697286015
121242,Baltatesti,4214.230606488011
86501,Satu Mare,4209.349078885215
87665,Oras Simeria,4180.650358680057
132896,Drajna,4180.368537666174
48557,Parscov,4173.740740740741
107975,Desesti,4169.549557148883
52758,Ezeris,4166.635736196319
11478,Moneasa,4098.33152173913
136599,Oras Negresti-Oas,4088.395060997276
42183,Vama Buzaului,4065.354665914858
103130,Ganeasa,4025.2128115264795
110063,Municipiul Orsova,4020.285725326532
7384,Santimbru,4012.1384564425307
108918,Salsig,3996.3938106796118
84754,Lunca De Sus,3989.906861313869
119331,Oras Sangeorgiu De Padure,3988.119312991047
106648,Vadu Izei,3979.2271622091002
147358,Oras Brosteni,3971.0024581348903
150935,Vama,3898.0342543221846
42708,Chiscani,3892.2523735542895
83632,Municipiul Toplita,3870.0390225657648
11584,Oras Pecica,3868.1851458510337
9654,Oras Pancota,3857.091804085651
109773,Municipiul Drobeta-Turnu Severin,3841.359737537592
131540,Oras Sinaia,3838.4392547660314
60632,Limanu,3829.2648269553288
54387,Toplet,3829.0976263399693
65681,Oras Gaesti,3823.871106477258
57706,Floresti,3815.124809146753
149931,Pojorata,3794.77652144995
146539,Municipiul Falticeni,3767.6851512084017
178607,Vanatori,3755.7848120529598
27436,Biharia,3732.8866861905835
138351,Orasu Nou,3720.5716129032257
161286,Smardan,3709.695576756288
34618,Sant,3706.5830721003135
51207,Oras Otelu Rosu,3614.8816069318627
125677,Baldovinesti,3590.6033676333022
34985,Teaca,3570.967873533911
64318,Ghelinta,3568.9267349700367
176855,Nanesti,3558.0185873605947
64041,Bradut,3526.079483163665
149539,Moldovita,3519.5348793005132
30069,Magesti,3514.152772677194
123790,Poiana Teiului,3465.3768641676743
80908,Musetesti,3463.5476190476193
85920,Suseni,3463.4286526435476
158109,Periam,3450.24905959216
172082,Pausesti-Maglasi,3449.5960627959134
88261,Beriu,3399.1302558071156
120968,Oras Bicaz,3391.160950173812
117113,Glodeni,3359.282660967139
86487,Porumbeni,3347.991010047594
64942,Valcele,3342.543452380952
120726,Municipiul Piatra-Neamt,3334.40200573811
40278,Municipiul Fagaras,3330.7185546386595
118058,Lunca Bradului,3308.4595375722542
149316,Malini,3307.631089007906
107047,Arinis,3298.423188405797
142774,Surduc,3290.015273311897
4142,Cricau,3263.035037878788
179864,Oncesti,3261.7230263157894
105936,Vidra,3250.2379478633497
33541,Livezile,3216.31974122721
158010,Ortisoara,3209.874591770085
10872,Ghioroc,3189.5732125367285
54270,Teregova,3189.5055377799654
115708,Beica De Jos,3174.285778577858
17824,Oarja,3162.100881834215
78711,Baia De Fier,3137.141458867397
122132,Costisa,3131.7843803056026
33845,Micestii De Campie,3131.434744268078
47373,Maracineni,3129.7139945652175
169306,Creteni,3118.757085020243
108892,Oras Salistea De Sus,3104.246839136355
35054,Telciu,3093.9522875816992
121055,Oras Targu Neamt,3080.405023120863
168041,Oras Horezu,3065.054265774106
107118,Baita De Sub Codru,3049.3098666666665
65048,Zabala,3047.1909650924026
48487,Pietroasele,3042.9347694174758
108348,Moisei,3042.3136094674555
160387,Frecatei,3017.4444749108857
22718,Ghimes-Faget,3011.8985743380854
64005,Brates,2982.38209752839
150114,Rasca,2970.988777089783
158653,Sanandrei,2924.440157825515
36006,Municipiul Dorohoi,2917.4517724386587
118799,Petelea,2905.6175600131537
42307,Voila,2895.3270939086296
79736,Calnic,2861.5802524797114
86133,Tulghes,2850.1291421492724
76674,Liesti,2832.1145823845523
2915,Oras Baia De Aries,2815.7131992149166
20965,Oras Targu Ocna,2799.5078422415104
159339,Voiteg,2770.603931409452
150980,Vatra Moldovitei,2761.72046626317
147072,Boroaia,2755.354401335002
85788,Sanmartin,2743.4252394835485
150356,Stulpicani,2727.932250656168
47854,Naeni,2713.41404494382
176506,Jaristea,2710.3802883479084
126406,Crampoia,2706.538888888889
70174,Simnicu De Sus,2701.2958681224577
157317,Giulvaz,2698.6910164749765
63688,Sita Buzaului,2688.7477975824627
115959,Ceuasu De Campie,2684.16631130064
48682,Podgoria,2679.6606363069245
114925,Municipiul Tarnaveni,2679.2681509433964
174156,Vladesti,2674.0790906179955
90208,Luncoiu De Jos,2670.5543661971833
156623,Darova,2643.600418410042
122025,Ceahlau,2624.939024390244
25861,Traian,2618.973186119874
148729,Frumosu,2609.6241418764303
34333,Rodna,2592.2383315242673
130614,Berceni,2575.684070241455
85412,Remetea,2560.335054773083
144054,Oras Avrig,2523.9786270256477
87576,Oras Hateg,2514.10580893824
136269,Vadu Sapat,2494.8400926998843
43466,Jirlau,2486.502943910753
145961,Valea Viilor,2473.3025732031942
84344,Ditrau,2468.419278333051
124938,Alexandru Cel Bun,2448.0897350993378
84102,Carta,2442.1982727599857
8158,Unirea,2436.0836126996646
31789,Tinca,2434.5676678233817
10943,Gurahont,2424.290512820513
21720,Casin,2424.2813602015112
145499,Oras Saliste,2411.266879946119
155760,Becicherecu Mic,2410.1857233101705
70352,Municipiul Calafat,2404.6061374177543
101902,Ciolpani,2401.5047823540895
108106,Farcasa,2388.2813775510203
145738,Seica Mica,2384.3524015110634
63526,Oras Covasna,2378.6051309177465
140627,Crasna,2378.45998214817
109176,Oras Somcuta Mare,2351.618702337792
134096,Maneciu,2345.137210827011
59416,Sic,2335.4345114345115
168229,Alunu,2332.7727375822183
158564,Sacalaz,2330.071436814772
106620,Sarasau,2329.2109658678287
133795,Izvoarele,2318.34819024828
48744,Oras Pogoanele,2284.8833576062493
154585,Tatarastii De Jos,2280.977463160936
142079,Mesesenii De Jos,2275.721794871795
84148,Corbu,2272.8130904183536
117426,Hodac,2264.582251501647
145382,Rau Sadului,2261.5237315875615
108240,Leordina,2253.5326488706364
17423,Moraresti,2249.1033925686593
41818,Sercaia,2247.136456908345
144116,Axente Sever,2246.0238812891257
171067,Mateesti,2242.6809314033985
41113,Harseni,2234.751217352811
64345,Ghidfalau,2225.7500935278713
9627,Oras Nadlac,2221.8662834291426
177842,Suraia,2201.5303723056827
122551,Farcasa,2200.666459627329
119242,Oras Sarmasu,2189.101336302895
119206,Saschiz,2187.6451754385967
28415,Cetariu,2187.565959409594
120254,Vanatori,2186.6238468634688
31716,Tileagd,2182.418328383538
9538,Oras Ineu,2171.11574992172
17913,Poienarii De Arges,2166.867867867868
149290,Marginea,2161.1368773166982
117319,Gurghiu,2157.035852090032
27971,Buntesti,2154.5970383666145
53274,Mehadia,2146.584199081904
18858,Stoenesti,2137.028820960699
41033,Halchiu,2132.54556803995
8826,Vintu De Jos,2127.162191780822
148765,Fundu Moldovei,2119.9950617283953
38063,Mihai Eminescu,2118.1371653343485
51118,Oras Oravita,2110.439862285757
131069,Oras Boldesti-Scaeni,2094.4248749353114
159446,Padureni,2091.732833237161
122908,Grumazesti,2090.5
78329,Oras Targu Carbunesti,2087.4173843150766
85341,Praid,2086.330746011212
107582,Cernesti,2078.1514573685645
105026,Sinesti,2074.6333210739244
12643,Vinga,2071.0300029129044
94312,Roseti,2070.3572971305152
2309,Almasu Mare,2048.5143745143746
59764,Tureni,2048.0214765100673
108455,Petrova,2044.9186372745492
63802,Batani,2044.411111111111
158895,Tomesti,2043.2181818181818
27846,Budureasa,2040.2272390821613
121938,Brusturi,2037.2683714001987
142284,Pericei,2036.1991219008264
5210,Lopadea Noua,2035.3085419734905
63893,Bodoc,2018.65
44391,Vadeni,2005.927065665132
145471,Sadu,2002.0478806907379
10293,Buteni,1989.0710302318755
9887,Bata,1977.8441926345608
50102,Vernesti,1972.2154708273815
159384,Dudestii Noi,1967.9246368038741
70094,Isalnita,1965.781763826607
153605,Plosca,1953.3614688478942
141376,Hereclean,1948.6657915463377
64639,Ozun,1945.9093447905477
63580,Oras Intorsura Buzaului,1942.109948761742
178377,Vidra,1941.2128726287262
5755,Miraslau,1933.4278982092367
35090,Tiha Bargaului,1933.009030704395
50068,Valea Salciei,1929.2868632707775
158181,Pischia,1929.1280332056194
17575,Mozaceni,1925.9407096171801
130954,Oras Azuga,1916.5182436611008
57582,Feleacu,1914.5204460966543
175224,Barsesti,1908.1261324041811
124206,Sabaoani,1906.1751806419088
65841,Municipiul Moreni,1899.8167023971935
178180,Tifesti,1896.127807900852
24089,Parincea,1892.832267962158
174824,Golesti,1882.8655629139073
151077,Vicovu De Jos,1878.561790861699
32633,Bistrita Bargaului,1875.4145519874241
151433,Comanesti,1862.3277240218763
83464,Oras Balan,1846.2175009456562
114603,Albesti,1844.8027732463295
86479,Leliceni,1839.8318542737038
149049,Horodniceni,1838.5366250678242
174922,Oras Marasesti,1820.7800758872108
12812,Zarand,1817.503096539162
60570,Agigea,1815.8638024442484
80285,Farcasesti,1794.2557497700093
161348,Stejaru,1792.3173198482932
84629,Lueta,1783.532271131515
151497,Cosna,1782.0645805592544
131933,Albesti-Paleologu,1776.3341695036731
55259,Municipiul Turda,1775.9169878446487
160430,Greci,1774.5658416776876
122061,Candesti,1766.3982653539615
88449,Bosorod,1742.2159434914229
33621,Maieru,1739.5406905055488
143646,Tarnava,1739.5089126559715
60687,Oras Ovidiu,1733.4187580025607
116395,Cucerdea,1732.3132956152758
161482,Valea Nucarilor,1731.7791986359762
118281,Oras Miercurea Nirajului,1716.455781198821
168880,Bujoreni,1715.8535291717667
115824,Bogata,1709.6632177961717
110232,Oras Vanju Mare,1708.8827328348063
84594,Lazarea,1704.8524590163934
29760,Lazuri De Beius,1704.0183544303798
76969,Pechea,1693.1893007730148
60776,Oras Cernavoda,1691.6472862223598
132315,Banesti,1677.5726692662176
47006,Grebanu,1670.945726416836
116545,Deda,1669.0547378104875
63777,Aita Mare,1666.6116098144823
134014,Magurele,1659.2049978822533
171021,Malaia,1658.6692265496436
26742,Astileu,1651.59634506853
145140,Nocrich,1649.4934052757794
177101,Paltin,1648.5985472154964
13999,Aninoasa,1647.3429850746268
156534,Criciova,1646.0665422885572
155109,Dracea,1642.2064078866297
53372,Obreja,1641.519801980198
95088,Barnova,1635.2666772554003
126433,Curtisoara,1631.240427013228
85127,Mugeni,1625.6269444444445
84237,Danesti,1621.4641407307172
83981,Ciucsangeorgiu,1618.1957040572793
138663,Sanislau,1611.0226666666667
19999,Vladesti,1607.5200124107973
116796,Fantanele,1606.576141621404
19695,Valea Iasului,1605.5998555435176
102213,Cornetu,1605.5609337452797
55446,Oras Huedin,1603.8851744186047
171879,Orlesti,1599.4209431345353
29092,Diosig,1594.0254704966746
83197,Feliceni,1590.9937031484258
120888,Cordun,1583.297239379806
151870,Municipiul Rosiori De Vede,1577.3972485216166
30719,Remetea,1575.6245224036124
20466,Margineni,1574.3280949001319
179677,Camin,1571.5448717948718
151479,Horodnic De Sus,1568.8578235182008
70110,Podari,1565.7425462134765
30988,Salacea,1565.5210543233686
54305,Ticvaniu Mare,1565.2218890554723
147937,Darmanesti,1563.4980498558589
4767,Horea,1557.731208372978
146655,Oras Siret,1557.1416974928072
21338,Beresti-Tazlau,1551.5238675958187
